"Value","RefDes","Pattern","LCSC "
"22u","C1","CAP_0805"," C45783"
"22u","C2","CAP_0603","C59461"
"100pF","C3","CAP_0402","C1525"
"B5819W","D1, D3","SOD-123","C8598"
"KT-0603R","D2","DIO_0603","C2286"
"","J1, J3","TE_TB-1X2_5_11X8_SC_H",""
"","J2","HDRF-1x6",""
"AO3401A","Q1","SOT23-3P95_237X112L50X40N_AD1","C15127"
"MMBT3904","Q2","SOT23-3P95_250X135L40X40N","C20526"
"10k","R1, R4, R6","RES_0402","C25744"
"100k","R2","RES_0402","C25741"
"30k","R3","RES_0402","C25776"
"100","R5","RES_0402","C25076"
"1k","R7","RES_0402","C11702"
"AMS1117-3","U1","SOT223-4P230_700X165L95X70L","C6186"
"STM32F030F4P6TR","U2","SOP20P65_650X640X120L60X24N_AD9","C89040"
