"RefDes","X (mm)","Y (mm)","Side","Rotate"
"C1","7.938","13.018","Top","270.0"
"C2","14.288","16.51","Top","0.0"
"C3","20.464","13.494","Top","0.0"
"D1","8.313","17.78","Top","180.0"
"D2","22.71","16.192","Top","0.0"
"D3","7.302","5.34","Top","90.0"
"J1","3.007","15.565","Top","270.0"
"J2","27.305","10.954","Top","270.0"
"J3","3.025","5.39","Top","90.0"
"Q1","10.477","3.889","Top","90.0"
"Q2","15.875","2.783","Top","90.0"
"R1","17.939","13.494","Top","180.0"
"R2","24.447","1.905","Top","0.0"
"R3","21.59","1.905","Top","0.0"
"R4","23.019","13.494","Top","0.0"
"R5","22.701","17.78","Top","180.0"
"R6","13.653","4.921","Top","180.0"
"R7","19.05","2.699","Top","270.0"
"U1","12.859","11.271","Top","180.0"
"U2","20.955","8.216","Top","270.0"
